# Directed
# from_node_id to_node_id lt_influence
0 1 0.037726
0 3 0.012516
0 4 0.148869
0 5 0.196100
0 7 0.058505
0 9 0.018411
0 10 0.090447
0 13 0.047160
0 16 0.354575
0 17 0.185747
0 20 0.030855
0 24 0.002899
0 25 0.026447
0 28 0.156043
0 29 0.081214
0 30 0.000630
0 31 0.037048
0 33 0.341674
0 35 0.582128
0 36 0.020124
0 40 0.057509
0 46 0.343628
0 49 0.139736
0 53 0.043082
0 57 0.014270
0 60 0.339298
0 62 0.077125
0 69 0.059277
0 73 0.034300
0 74 0.435228
0 76 0.395431
0 77 0.105247
0 78 0.150544
0 79 0.063549
0 81 0.962426
0 82 0.041848
0 86 0.354495
0 87 0.166710
0 92 0.000010
0 93 0.048380
0 95 0.754489
0 97 0.427512
0 101 0.085885
0 103 0.001306
0 106 0.172693
0 111 0.004230
0 117 0.238175
0 124 0.249062
0 126 0.005601
0 128 0.053828
0 133 0.000409
0 136 0.014528
0 137 0.056705
0 140 0.079952
0 142 0.039410
0 148 0.139919
0 150 0.016750
0 153 0.611779
0 156 0.047048
0 161 0.076198
0 164 0.327626
0 167 0.030923
0 168 0.346082
0 169 0.055646
0 170 0.042289
0 171 0.025817
0 172 0.008468
0 181 0.019919
0 182 0.784008
0 187 0.107328
0 190 0.054850
0 193 0.576324
0 194 0.110809
0 195 0.001169
0 197 0.170438
0 199 0.035958
0 200 0.054924
0 202 0.705359
0 205 0.162145
0 209 0.339903
0 212 0.046200
0 221 0.321029
0 223 0.053159
0 224 0.093816
0 225 0.015962
0 227 0.201449
0 228 0.553649
0 233 0.239589
0 236 0.027604
0 237 0.468073
0 241 0.074731
0 243 0.301351
0 250 0.301273
0 253 0.999061
0 263 0.224424
0 264 0.465981
0 266 0.172358
0 269 0.172280
0 273 0.117342
0 276 0.262623
0 277 0.024563
0 279 0.034671
0 280 0.089945
0 283 0.403022
0 284 0.380567
0 290 0.086384
0 291 0.033276
0 292 0.862836
0 296 0.420499
0 308 0.042318
0 313 0.063917
0 316 0.194884
0 317 0.243450
0 319 0.462162
0 321 0.600742
0 323 0.100213
0 327 0.158287
0 331 0.146781
0 332 0.061256
0 336 0.232721
0 339 0.038631
0 343 0.340853
0 344 0.052750
0 345 0.057694
0 347 0.418455
1 73 0.114354
1 92 0.059033
1 119 0.021289
1 126 0.276075
1 133 0.027913
1 322 0.014645
2 0 0.002332
2 149 0.154627
2 333 0.270330
2 343 0.023524
3 122 0.031914
3 142 0.033122
3 188 0.041924
3 228 0.282083
3 280 0.024878
4 152 0.195572
4 218 0.098084
4 328 0.662937
5 122 0.014277
5 316 0.729615
6 0 0.005712
6 219 0.720924
7 38 0.241022
7 65 0.036160
7 103 0.120677
7 168 0.093493
8 0 0.006287
8 91 0.182630
8 201 0.422318
8 245 0.027949
8 259 0.264854
9 3 0.062406
9 26 0.035524
9 56 0.026031
9 122 0.035031
9 128 0.048755
9 156 0.113104
9 161 0.049513
9 169 0.023405
9 186 0.006144
9 199 0.011986
9 200 0.029437
9 232 0.147098
9 258 0.145450
9 271 0.036232
9 291 0.002129
9 297 0.068930
9 315 0.062135
9 323 0.024247
9 342 0.128690
10 67 0.012198
11 0 0.005557
12 0 0.003680
13 21 0.018165
13 59 0.159033
13 67 0.001128
13 82 0.115332
13 118 0.041780
13 119 0.014861
13 172 0.054286
13 188 0.085116
13 238 0.125839
13 252 0.023993
13 325 0.042914
13 342 0.123574
14 0 0.006133
14 28 0.068339
14 144 0.063262
14 149 0.092874
14 214 0.049601
14 310 0.128827
14 312 0.120458
15 0 0.003565
16 29 0.082438
16 261 0.084993
16 329 0.046776
16 331 0.109478
16 332 0.077067
17 19 0.004286
17 116 0.331519
17 137 0.103995
17 140 0.161616
17 214 0.148792
17 310 0.170650
17 326 0.042424
18 0 0.000605
19 0 0.004202
19 112 0.569290
19 214 0.217006
20 2 0.191324
20 14 0.034640
20 44 0.274626
20 162 0.207157
20 333 0.121415
21 0 0.004248
21 9 0.038495
21 26 0.035106
21 31 0.030468
21 39 0.161387
21 55 0.084731
21 56 0.015924
21 66 0.180705
21 88 0.106258
21 105 0.076104
21 109 0.042240
21 121 0.088645
21 134 0.081620
21 165 0.103499
21 200 0.052074
21 203 0.027024
21 212 0.074929
21 232 0.005975
21 236 0.004322
21 248 0.066641
21 251 0.277822
21 252 0.023465
21 304 0.092089
21 308 0.114189
21 313 0.098866
21 315 0.009770
21 325 0.080714
21 342 0.073007
22 0 0.005719
22 7 0.047710
22 185 0.055350
22 308 0.009005
22 347 0.141011
23 0 0.002489
23 51 0.198523
23 61 0.028769
23 116 0.134385
23 144 0.156827
23 155 0.303330
23 227 0.032359
23 237 0.199521
24 53 0.065379
24 92 0.077566
24 187 0.151965
24 249 0.124017
24 346 0.043209
25 3 0.061893
25 9 0.014206
25 21 0.023245
25 26 0.048699
25 31 0.054393
25 39 0.057561
25 51 0.304811
25 72 0.036393
25 76 0.375223
25 79 0.115002
25 88 0.113139
25 98 0.042163
25 105 0.204667
25 113 0.101512
25 119 0.045393
25 141 0.157929
25 169 0.082759
25 186 0.021628
25 200 0.071327
25 203 0.046317
25 221 0.272079
25 232 0.126711
25 246 0.131967
25 252 0.013255
25 272 0.061913
25 277 0.052759
25 283 0.358699
25 290 0.174581
25 322 0.052382
25 331 0.113605
25 332 0.073228
26 0 0.005547
26 3 0.104335
26 13 0.036003
26 56 0.003897
26 62 0.050411
26 69 0.167462
26 72 0.020572
26 79 0.234529
26 104 0.000927
26 109 0.023317
26 123 0.078030
26 128 0.023973
26 134 0.173441
26 161 0.110933
26 169 0.077633
26 186 0.036885
26 199 0.072880
26 223 0.075006
26 232 0.113485
26 239 0.009968
26 252 0.050133
26 271 0.034980
26 280 0.028219
26 291 0.033154
26 297 0.103164
26 298 0.289249
26 313 0.029410
27 0 0.003594
27 119 0.031256
27 329 0.180411
28 41 0.081217
28 140 0.015072
28 144 0.100760
28 312 0.145490
29 40 0.021481
29 106 0.072476
29 231 0.198672
30 9 0.037125
30 48 0.125538
30 56 0.029422
30 73 0.229337
30 178 0.076899
30 188 0.065399
30 200 0.001379
30 271 0.050227
31 7 0.097861
31 83 0.259961
31 84 0.089075
31 109 0.019390
31 142 0.051013
31 291 0.103838
31 308 0.022448
32 0 0.006784
32 167 0.519600
32 310 0.186875
34 0 0.002395
34 173 0.049910
34 414 0.015117
36 108 0.059772
36 127 0.041132
36 251 0.102233
37 0 0.002204
38 0 0.002570
38 117 0.261853
38 141 0.169979
38 178 0.138663
38 322 0.018356
39 0 0.006634
39 69 0.066857
39 119 0.043229
39 161 0.098330
39 200 0.000975
39 257 0.111559
40 21 0.009381
40 25 0.008474
40 26 0.039138
40 56 0.012073
40 67 0.030496
40 77 0.307711
40 142 0.055758
40 199 0.028708
40 224 0.084778
40 258 0.042292
40 265 0.125844
40 298 0.131208
40 307 0.565966
40 315 0.021482
40 317 0.187908
40 329 0.186148
41 0 0.001109
41 14 0.046637
41 17 0.061086
41 19 0.110894
41 20 0.142653
41 44 0.180292
41 93 0.159276
41 226 0.010621
41 326 0.017471
41 343 0.202915
42 0 0.006647
42 33 0.576192
43 0 0.004656
44 0 0.007580
44 111 0.226960
44 312 0.043224
45 0 0.001397
45 122 0.041450
45 322 0.050033
47 0 0.002957
48 0 0.001203
48 1 0.168770
48 80 0.068223
48 119 0.012639
48 126 0.171759
48 199 0.063973
48 271 0.061813
48 320 0.149715
48 330 0.124005
49 255 0.179082
50 0 0.002268
50 113 0.103131
50 148 0.132102
50 334 0.090227
51 0 0.007248
51 31 0.063429
51 83 0.272475
51 237 0.274276
52 0 0.004475
53 1 0.104581
53 48 0.076810
53 54 0.181389
53 88 0.124765
53 180 0.103420
53 194 0.086227
53 204 0.004178
53 242 0.064174
53 254 0.076158
53 299 0.076514
53 315 0.058889
53 330 0.069886
53 346 0.115953
54 0 0.005737
54 1 0.143786
54 27 0.446413
54 48 0.063448
54 313 0.070009
55 0 0.000851
55 26 0.045467
55 122 0.003532
55 170 0.027817
55 186 0.048548
55 252 0.058515
56 0 0.004810
56 13 0.022845
56 25 0.014360
56 55 0.093689
56 60 0.346044
56 62 0.018642
56 66 0.272432
56 75 0.008306
56 82 0.085086
56 118 0.054881
56 161 0.094927
56 188 0.083201
56 207 0.168622
56 213 0.074826
56 221 0.116130
56 223 0.057378
56 238 0.051979
56 304 0.031931
56 313 0.006329
56 332 0.077723
57 24 0.097634
57 48 0.123694
57 92 0.035777
57 108 0.115493
57 184 0.197189
57 204 0.130608
57 277 0.002396
57 346 0.040565
58 0 0.001487
58 107 0.001841
58 269 0.200901
58 3003 0.517935
58 3290 0.298680
59 0 0.006554
59 56 0.029208
59 82 0.045370
59 98 0.022194
59 118 0.006165
59 172 0.065725
59 186 0.056750
59 203 0.055261
59 211 0.112803
59 239 0.029601
59 250 0.094766
59 252 0.007425
60 239 0.011458
60 291 0.096000
60 322 0.024573
61 0 0.001880
62 141 0.050986
62 161 0.039613
62 170 0.030793
62 236 0.055290
62 261 0.111073
62 318 0.364269
63 0 0.003840
63 56 0.009862
63 261 0.114158
63 313 0.039967
64 0 0.003548
64 119 0.035447
64 150 0.135338
64 171 0.018001
64 217 0.158354
65 0 0.001278
65 13 0.002223
65 25 0.016342
65 252 0.063656
65 314 0.001469
65 339 0.038558
66 0 0.001351
66 9 0.034175
66 26 0.012909
66 67 0.018102
66 122 0.020304
66 134 0.071344
66 239 0.001131
66 252 0.004730
66 304 0.105219
67 0 0.001355
67 3 0.074647
67 9 0.041873
67 21 0.030460
67 25 0.018493
67 26 0.044006
67 31 0.074361
67 45 0.002787
67 55 0.059933
67 56 0.021835
67 62 0.015551
67 75 0.051898
67 82 0.016208
67 98 0.005436
67 118 0.050645
67 128 0.072048
67 186 0.044102
67 203 0.052724
67 212 0.203225
67 213 0.088838
67 223 0.027269
67 236 0.058798
67 248 0.122028
67 261 0.039938
67 272 0.072097
67 280 0.042513
67 297 0.238132
67 303 0.055818
67 345 0.177657
68 0 0.004225
68 99 0.130094
68 143 0.294689
68 175 0.013224
69 9 0.012288
69 25 0.000191
69 67 0.026446
70 0 0.004234
71 0 0.000994
72 0 0.002129
72 3 0.126228
72 9 0.013154
72 40 0.028061
72 56 0.017325
72 67 0.007807
72 165 0.229601
72 239 0.043717
72 272 0.061111
73 25 0.002684
73 48 0.087061
73 126 0.188052
73 299 0.255351
75 0 0.006531
75 9 0.013606
75 85 0.025320
75 323 0.005833
77 294 0.242315
77 332 0.028245
78 4 0.053176
78 181 0.092455
79 9 0.008254
79 67 0.006115
79 185 0.062398
79 188 0.001609
80 0 0.005861
80 24 0.119088
80 57 0.018735
80 94 0.044744
80 101 0.134156
80 173 0.031025
80 187 0.229518
80 330 0.173406
81 269 0.124059
81 286 0.789023
82 16 0.110101
82 29 0.130724
82 65 0.054902
82 84 0.091676
82 98 0.023557
82 119 0.036808
82 123 0.128043
82 158 0.056483
82 199 0.038150
82 222 0.072826
82 231 0.052060
82 238 0.047494
82 271 0.022387
82 314 0.242337
82 331 0.039881
83 0 0.003976
83 23 0.100258
83 25 0.044702
83 84 0.003445
84 0 0.005276
84 25 0.003880
84 51 0.400826
84 276 0.057316
85 0 0.007128
85 3 0.078166
85 9 0.034988
85 156 0.128124
85 258 0.228989
85 271 0.016336
86 225 0.353867
86 227 0.261081
87 5 0.074270
87 7 0.073584
87 22 0.104566
87 339 0.004079
88 0 0.007615
88 1 0.031773
88 48 0.013943
88 56 0.024559
88 73 0.286551
88 80 0.053366
88 130 0.172471
88 186 0.053450
88 236 0.058930
88 242 0.060469
89 0 0.004315
89 6 0.067458
89 19 0.075382
89 327 0.173666
90 0 0.001228
91 0 0.004047
91 110 0.518004
91 264 0.401804
92 53 0.059514
92 80 0.084926
92 94 0.095180
92 180 0.094747
92 187 0.060394
92 196 0.384552
92 204 0.121673
92 249 0.083414
92 254 0.014002
92 299 0.155746
93 32 0.155532
94 0 0.002793
94 24 0.123051
94 25 0.013530
94 53 0.075350
94 180 0.096118
94 266 0.177164
94 300 0.755082
94 302 0.203404
94 330 0.010576
94 346 0.118601
95 6 0.334613
95 89 0.204646
95 327 0.235754
96 0 0.007318
96 62 0.054057
96 133 0.148770
96 323 0.046181
98 0 0.001714
98 13 0.010216
98 21 0.012354
98 26 0.026686
98 56 0.031262
98 62 0.043065
98 103 0.132942
98 104 0.082607
98 109 0.101594
98 118 0.001592
98 148 0.039106
98 172 0.031906
98 200 0.001703
98 203 0.043624
98 223 0.092294
98 252 0.021907
98 261 0.073747
98 277 0.001345
98 315 0.014302
99 0 0.003515
99 23 0.085389
99 143 0.106866
99 177 0.197963
99 263 0.310667
100 0 0.001807
100 64 0.795066
100 217 0.314664
100 269 0.131655
101 24 0.142674
101 53 0.086494
101 92 0.199573
101 94 0.069397
101 180 0.108051
101 204 0.060957
101 249 0.146135
101 254 0.128613
101 266 0.034031
102 0 0.007201
102 99 0.176613
102 175 0.196116
102 227 0.002855
102 263 0.205860
102 296 0.388870
103 25 0.045172
103 56 0.003873
103 185 0.101279
103 200 0.022855
103 271 0.008242
103 323 0.020316
103 339 0.067043
104 0 0.006746
104 21 0.011102
104 25 0.015283
104 45 0.109437
104 55 0.113751
104 56 0.011072
104 67 0.015277
104 128 0.068330
104 169 0.049039
104 186 0.045072
104 200 0.049474
104 271 0.021357
104 295 0.349232
104 332 0.084069
105 0 0.003837
105 9 0.008224
105 39 0.146342
105 69 0.201973
105 148 0.022699
105 236 0.063454
105 272 0.011819
105 280 0.003260
105 315 0.011183
106 88 0.116140
106 332 0.066970
107 0 0.002016
107 171 0.084591
107 348 0.009304
107 366 0.023376
107 376 0.001643
107 414 0.008849
107 420 0.012778
107 428 0.020020
107 526 0.029768
107 563 0.032335
107 649 0.132458
107 896 0.004504
107 898 0.042188
107 902 0.016756
107 903 0.087735
107 905 0.106831
107 907 0.191596
107 915 0.068298
107 918 0.290252
107 919 0.069843
107 926 0.026063
107 928 0.256530
107 934 0.003299
107 937 0.136182
107 938 0.044517
107 941 0.037589
107 942 0.012314
107 945 0.448173
107 947 0.017769
107 950 0.025669
107 961 0.059078
107 963 0.008144
107 964 0.038940
107 967 0.012907
107 969 0.082932
107 970 0.015195
107 972 0.088177
107 973 0.118948
107 975 0.018111
107 976 0.031061
107 977 0.006354
107 978 0.014689
107 979 0.254339
107 985 0.298971
107 986 0.191319
107 994 0.035499
107 996 0.504475
107 999 0.001977
107 1001 0.048396
107 1003 0.006177
107 1007 0.086753
107 1011 0.091987
107 1012 0.114416
107 1013 0.156483
107 1016 0.262952
107 1018 0.006469
107 1019 0.023315
107 1026 0.016208
107 1030 0.079088
107 1032 0.027745
107 1035 0.068459
107 1037 0.026551
107 1044 0.073211
107 1045 0.107694
107 1050 0.076081
107 1052 0.014273
107 1056 0.012942
107 1060 0.000893
107 1077 0.063641
107 1090 0.113234
107 1091 0.148719
107 1101 0.014269
107 1108 0.056593
107 1109 0.043995
107 1112 0.036077
107 1115 0.068562
107 1118 0.012170
107 1119 0.441959
107 1125 0.028021
107 1136 0.031398
107 1137 0.062315
107 1139 0.076291
107 1145 0.185411
107 1148 0.003531
107 1151 0.259442
107 1154 0.016059
107 1157 0.078889
107 1160 0.032596
107 1161 0.051215
107 1162 0.229918
107 1170 0.008410
107 1177 0.165115
107 1180 0.004633
107 1182 0.015640
107 1187 0.077343
107 1190 0.064875
107 1194 0.473746
107 1195 0.007207
107 1197 0.155844
107 1198 0.030711
107 1203 0.195757
107 1204 0.005082
107 1206 0.884206
107 1207 0.006006
107 1208 0.164591
107 1209 0.004445
107 1212 0.010156
107 1214 0.004611
107 1215 0.038167
107 1219 0.045062
107 1220 0.183001
107 1223 0.026827
107 1229 0.034856
107 1230 0.013669
107 1232 0.009712
107 1235 0.018373
107 1236 0.040498
107 1237 0.044680
107 1238 0.018675
107 1239 0.015047
107 1242 0.001792
107 1244 0.112947
107 1245 0.022089
107 1247 0.015771
107 1248 0.133160
107 1249 0.118144
107 1256 0.023827
107 1260 0.059214
107 1262 0.122384
107 1263 0.023863
107 1265 0.083099
107 1266 0.173022
107 1268 0.185888
107 1272 0.028227
107 1277 0.018403
107 1279 0.013183
107 1281 0.021805
107 1283 0.032667
107 1284 0.056631
107 1288 0.013811
107 1289 0.004240
107 1292 0.045341
107 1294 0.008417
